filename,path,recommendation,confidence,reasoning,forbidden_patterns,has_main_function,has_functions,has_classes
mcp_server.py,tidyllm\knowledge_resource_server\mcp_server.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
execute_robots3_workflow.py,tidyllm\execute_robots3_workflow.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,False,1,0
workflow_config.py,tidyllm\knowledge_systems\core\workflow_config.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,6,2
vector_storage.py,tidyllm\knowledge_systems\facades\vector_storage.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,1
embedding_processor.py,tidyllm\knowledge_systems\facades\embedding_processor.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,1
embedding_config.py,tidyllm\knowledge_systems\core\embedding_config.py,needs_migration,high,Contains forbidden patterns: numpy_usage,numpy_usage,False,2,3
test_tlm_facades.py,tidyllm\tests\test_tlm_facades.py,needs_migration,high,Contains forbidden patterns: numpy_usage,numpy_usage,False,8,0
__init__.py,tidyllm\knowledge_systems\facades\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
enhanced_extraction.py,tidyllm\knowledge_systems\core\enhanced_extraction.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,1
document_processor.py,tidyllm\knowledge_systems\facades\document_processor.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,1
test_vector_manager_integration.py,tidyllm\tests\test_vector_manager_integration.py,needs_migration,high,Contains forbidden patterns: numpy_usage,numpy_usage,False,12,0
test_embedding_standardization.py,tidyllm\tests\test_embedding_standardization.py,needs_migration,high,Contains forbidden patterns: numpy_usage,numpy_usage,False,14,0
test_startup_model_discovery.py,tidyllm\tests\test_startup_model_discovery.py,needs_migration,high,Contains forbidden patterns: numpy_usage,numpy_usage,False,14,0
startup_model_sync.py,tidyllm\startup_model_sync.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,5,0
startup_model_discovery.py,tidyllm\knowledge_systems\core\startup_model_discovery.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,3,1
model_discovery_scheduler.py,tidyllm\knowledge_systems\core\model_discovery_scheduler.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,1
dynamic_model_discovery.py,tidyllm\knowledge_systems\core\dynamic_model_discovery.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,2,2
vector_manager.py,tidyllm\knowledge_systems\core\vector_manager.py,needs_migration,high,"Contains forbidden patterns: psycopg2_direct, numpy_usage",psycopg2_direct; numpy_usage,False,2,5
knowledge_interface.py,tidyllm\knowledge_systems\interfaces\knowledge_interface.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,1
__init__.py,tidyllm\knowledge_systems\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm\knowledge_systems\interfaces\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
knowledge_manager.py,tidyllm\knowledge_systems\core\knowledge_manager.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,2
domain_rag.py,tidyllm\knowledge_systems\core\domain_rag.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,5
__init__.py,tidyllm\knowledge_systems\core\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
cli.py,tidyllm\rag2dag\cli.py,active_executable,high,Has main function and execution guard,,True,1,1
executor.py,tidyllm\rag2dag\executor.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
converter.py,tidyllm\rag2dag\converter.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,4
config.py,tidyllm\rag2dag\config.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,3
__init__.py,tidyllm\rag2dag\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
drop_zones.py,archive\old_src\tidyllm\drop_zones.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,7
corporate.py,tidyllm\flow_agreements\corporate.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
base.py,tidyllm\flow_agreements\base.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm\flow_agreements\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
listener.py,tidyllm\deprecated\session_management\drop_zones_old\basic\listener.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
processor.py,tidyllm\deprecated\session_management\drop_zones_old\basic\processor.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
logger.py,tidyllm\deprecated\session_management\drop_zones_old\basic\logger.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,3
config.py,tidyllm\deprecated\session_management\drop_zones_old\basic\config.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm\deprecated\session_management\drop_zones_old\basic\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
simple_listener.py,tidyllm\deprecated\session_management\drop_zones_old\simple_listener.py,uncertain_has_todos,medium,Has TODO items: 1 found,,False,1,1
core.py,archive\old_src\tidyllm\core.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,0
dspy.py,archive\old_src\tidyllm\dspy.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,11
vectorqa.py,archive\old_src\tidyllm\vectorqa.py,needs_migration,high,Contains forbidden patterns: numpy_usage,numpy_usage,False,7,5
verbs.py,archive\old_src\tidyllm\verbs.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,6,1
__init__.py,archive\old_src\tidyllm\__init__.py,inactive_no_imports,medium,No imports - likely empty or template,,False,3,2
11_test_document_processing_pipeline.py,tidyllm\tests\11_test_document_processing_pipeline.py,needs_migration,high,Contains forbidden patterns: sentence_transformers,sentence_transformers,False,1,1
base.py,archive\old_src\tidyllm\backends\base.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
bedrock.py,archive\old_src\tidyllm\backends\bedrock.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,0,1
direct.py,archive\old_src\tidyllm\backends\direct.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
gateway.py,archive\old_src\tidyllm\backends\gateway.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
mock.py,archive\old_src\tidyllm\backends\mock.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,archive\old_src\tidyllm\backends\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
config.py,archive\old_src\tidyllm\config.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
dspy_enhanced_config.py,archive\old_src\tidyllm\dspy_enhanced_config.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,6
features.py,archive\old_src\tidyllm\features.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,4
unified.py,archive\old_src\tidyllm\unified.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,2
utils.py,archive\old_src\tidyllm\utils.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,8,0
s3_chat_system.py,tidyllm\deprecated\session_management\drop_zones\s3_chat_system.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,True,1,1
simple_fixed_s3_dropzones.py,tidyllm\deprecated\session_management\drop_zones\simple_fixed_s3_dropzones.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,True,1,1
fixed_s3_dropzones.py,tidyllm\deprecated\session_management\drop_zones\fixed_s3_dropzones.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,True,1,3
FINAL_real_dropzones.py,tidyllm\deprecated\session_management\scripts\FINAL_real_dropzones.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,True,1,1
REAL_dropzones_no_simulation.py,tidyllm\deprecated\session_management\scripts\REAL_dropzones_no_simulation.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,True,1,1
production_s3_verification_dropzones.py,tidyllm\deprecated\session_management\scripts\production_s3_verification_dropzones.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,True,1,1
simple_dspy_check.py,scripts\simple_dspy_check.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,0
check_dspy_usage.py,scripts\check_dspy_usage.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,9,0
query_research_chat.py,scripts\query_research_chat.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,0
final_working_drop_zones.py,tidyllm\deprecated\session_management\scripts\final_working_drop_zones.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,True,2,1
working_enhanced_drop_zones.py,tidyllm\deprecated\session_management\scripts\working_enhanced_drop_zones.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,True,2,1
simple_enhanced_drop_zones.py,tidyllm\deprecated\session_management\scripts\simple_enhanced_drop_zones.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,True,2,1
enhanced_drop_zones.py,tidyllm\deprecated\session_management\scripts\enhanced_drop_zones.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,True,3,1
config.py,archive\old_src\tidydspy\config.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,6
config_manager.py,tidyllm\admin\config_manager.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,8
gateway_control.py,tidyllm\admin\gateway_control.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,5
demo_protection.py,tidyllm\demo-standalone\demo_protection.py,uncertain_needs_manual_review,low,Demo but missing main execution; Mixed indicators - needs manual review,,False,3,4
error_tracker.py,tidyllm\demo-standalone\error_tracker.py,uncertain_needs_manual_review,low,Demo but missing main execution; Mixed indicators - needs manual review,,False,2,5
live_ticker.py,tidyllm\demo-standalone\my_config\live_ticker.py,needs_migration,high,Demo with executable main; Contains forbidden patterns: psycopg2_direct,psycopg2_direct,True,3,1
live_ticker_backup.py,tidyllm\demo-standalone\my_config\live_ticker_backup.py,needs_migration,high,Demo with executable main; Contains forbidden patterns: psycopg2_direct,psycopg2_direct,True,3,1
live_ticker_clean.py,tidyllm\demo-standalone\my_config\live_ticker_clean.py,needs_migration,high,Demo with executable main; Contains forbidden patterns: psycopg2_direct,psycopg2_direct,True,3,1
sparse_agreements.py,tidyllm\demo-standalone\sparse_agreements.py,uncertain_needs_manual_review,low,Demo but missing main execution; Mixed indicators - needs manual review,,False,2,2
demo_protection.py,tidyllm\demo_protection.py,uncertain_needs_manual_review,low,Demo but missing main execution; Mixed indicators - needs manual review,,False,3,4
credential_manager.py,tidyllm\deprecated\session_management\credential_manager.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,5
credential_manager_backup.py,tidyllm\deprecated\session_management\credential_manager_backup.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,5
error_tracker.py,tidyllm\error_tracker.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,5
conftest.py,tidyllm\tests\conftest.py,uncertain_needs_manual_review,low,Test file with functions; Mixed indicators - needs manual review,,False,4,0
validate_evidence.py,tidyllm\tests\EVIDENCE\validate_evidence.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
embeddings.py,archive\old_tidyllm-vectorqa_sentence_backup_20250903\lsa\embeddings.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,1
embeddings.py,archive\old_tidyllm-vectorqa_sentence_backup_20250903\ngram\embeddings.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,1
embeddings.py,archive\old_tidyllm-vectorqa_sentence_backup_20250903\tfidf\embeddings.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,1
embeddings.py,archive\old_tidyllm-vectorqa_sentence_backup_20250903\transformer\embeddings.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,1
corpus.py,archive\old_tidyllm-vectorqa_sentence_backup_20250903\utils\corpus.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,6,0
preprocessing.py,archive\old_tidyllm-vectorqa_sentence_backup_20250903\utils\preprocessing.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,1
similarity.py,archive\old_tidyllm-vectorqa_sentence_backup_20250903\utils\similarity.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,6,0
stemmer.py,archive\old_tidyllm-vectorqa_sentence_backup_20250903\utils\stemmer.py,inactive_no_imports,medium,No imports - likely empty or template,,False,9,0
stopwords.py,archive\old_tidyllm-vectorqa_sentence_backup_20250903\utils\stopwords.py,inactive_no_imports,medium,No imports - likely empty or template,,False,2,0
tokenize.py,archive\old_tidyllm-vectorqa_sentence_backup_20250903\utils\tokenize.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,5,0
embeddings.py,archive\old_tidyllm-vectorqa_sentence_backup_20250903\word_avg\embeddings.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,1
smart_file_upload_app.py,scripts\smart_file_upload_app.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,True,1,1
demo_file_upload_app.py,scripts\demo_file_upload_app.py,needs_migration,high,Demo with executable main; Contains forbidden patterns: boto3_direct,boto3_direct,True,1,1
test_s3_file_upload.py,tidyllm\test_s3_file_upload.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,True,1,1
analyzer.py,tidyllm-x-template\tidyllm_{domain}\core\analyzer.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm-x-template\tidyllm_{domain}\__init__.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,0
debug_toc.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\advanced_analysis\debug_toc.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,0
heiros_streamlit_demo.py,scripts\heiros_streamlit_demo.py,needs_migration,high,Demo with executable main; Contains forbidden patterns: psycopg2_direct,psycopg2_direct,True,10,0
create_workflow_tables.py,scripts\create_workflow_tables.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,False,1,0
check_workflow_tables.py,scripts\check_workflow_tables.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,False,1,0
heiros_demo.py,scripts\heiros_demo.py,uncertain_needs_manual_review,low,Demo but missing main execution; Mixed indicators - needs manual review,,False,2,0
check_papers_columns.py,scripts\check_papers_columns.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,False,1,0
check_papers_database.py,scripts\check_papers_database.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,False,1,0
check_s3_papers.py,scripts\check_s3_papers.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,1,0
count_mlflow_tables.py,scripts\count_mlflow_tables.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,False,1,0
check_mlflow_history.py,scripts\check_mlflow_history.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,False,1,0
setup_mlflow_postgres.py,scripts\setup_mlflow_postgres.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
dag_manager.py,tidyllm-enterprise\tidyllm_enterprise\workflows\dag_manager.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,12
platform.py,tidyllm-enterprise\tidyllm_enterprise\platform.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm-enterprise\tidyllm_enterprise\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm-enterprise\tidyllm_enterprise\analysis\__init__.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
unified_framework.py,tidyllm-enterprise\tidyllm_enterprise\frameworks\unified_framework.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,5
__init__.py,tidyllm-enterprise\tidyllm_enterprise\frameworks\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm-enterprise\tidyllm_enterprise\workflows\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
sparse_system.py,tidyllm-enterprise\tidyllm_enterprise\workflows\sparse_system.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,9
__init__.py,tidyllm-enterprise\tidyllm_enterprise\analysis\model_risk\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
standards.py,tidyllm-enterprise\tidyllm_enterprise\analysis\model_risk\standards.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
embeddings_enhanced_qa.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\embeddings_enhanced_qa.py,needs_migration,high,Contains forbidden patterns: numpy_usage,numpy_usage,True,1,1
qa_demo_simple.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\qa_demo_simple.py,uncertain_needs_manual_review,low,Demo but missing main execution; Mixed indicators - needs manual review,,False,0,1
qa_embeddings_demo.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\qa_embeddings_demo.py,needs_migration,high,Demo with executable main; Contains forbidden patterns: numpy_usage,numpy_usage,True,1,1
paper_repository.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\paper_repository.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,False,1,1
test_sync_fixed.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\test_sync_fixed.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
s3_session_manager.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\s3_session_manager.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,3,4
check_bucket_status.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\check_bucket_status.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,0,0
test_dsai_bucket.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\test_dsai_bucket.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,0,0
list_buckets.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\list_buckets.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,0,0
test_s3_access.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\test_s3_access.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,1,0
verify_aws_credentials.py,tidyllm\deprecated\session_management\scripts\verify_aws_credentials.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
encrypt_credentials.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\encrypt_credentials.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,2,0
test_s3_upload.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\test_s3_upload.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,1,0
search_tracker.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\search_tracker.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,False,1,3
ui_config.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\ui_config.py,inactive_no_imports,medium,No imports - likely empty or template,,False,4,0
search_script_clean.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\search_script_clean.py,active_executable,high,Has main function and execution guard,,True,4,0
research_framework.py,tidyllm-vectorqa\tidyllm_vectorqa\yrsn\research_framework.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,3
__init__.py,tidyllm-vectorqa\tidyllm_vectorqa\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm-vectorqa\tidyllm_vectorqa\documents\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm-vectorqa\tidyllm_vectorqa\yrsn\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm-vectorqa\tidyllm_vectorqa\documents\classification\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm-vectorqa\tidyllm_vectorqa\documents\extraction\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm-vectorqa\tidyllm_vectorqa\documents\templates\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
backend_config.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\backend_config.py,needs_migration,high,"Contains forbidden patterns: boto3_direct, psycopg2_direct, numpy_usage",boto3_direct; psycopg2_direct; numpy_usage,False,2,5
research_framework.py,tidyllm-vectorqa\tidyllm_vectorqa\whitepapers\research_framework.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,3
gaussian.py,tidyllm-vectorqa\tidyllm_vectorqa\core\anomaly\gaussian.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
scaled_dot_product.py,tidyllm-vectorqa\tidyllm_vectorqa\core\attention\scaled_dot_product.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
kmeans.py,tidyllm-vectorqa\tidyllm_vectorqa\core\cluster\kmeans.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
activations.py,tidyllm-vectorqa\tidyllm_vectorqa\core\core\activations.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
losses.py,tidyllm-vectorqa\tidyllm_vectorqa\core\core\losses.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
metrics.py,tidyllm-vectorqa\tidyllm_vectorqa\core\core\metrics.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,0
pca_power.py,tidyllm-vectorqa\tidyllm_vectorqa\core\decomp\pca_power.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,10,0
whiten.py,tidyllm-vectorqa\tidyllm_vectorqa\core\decomp\whiten.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,0
logistic_regression.py,tidyllm-vectorqa\tidyllm_vectorqa\core\linear_models\logistic_regression.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
softmax_regression.py,tidyllm-vectorqa\tidyllm_vectorqa\core\linear_models\softmax_regression.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
matrix_factorization.py,tidyllm-vectorqa\tidyllm_vectorqa\core\mf\matrix_factorization.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
gmm_pure.py,tidyllm-vectorqa\tidyllm_vectorqa\core\mixture\gmm_pure.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,6,0
split.py,tidyllm-vectorqa\tidyllm_vectorqa\core\model_selection\split.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
multinomial.py,tidyllm-vectorqa\tidyllm_vectorqa\core\naive_bayes\multinomial.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
linear.py,tidyllm-vectorqa\tidyllm_vectorqa\core\svm\linear.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
test_algos.py,tidyllm-vectorqa\tidyllm_vectorqa\core\tests\test_algos.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
test_gmm_pca_whiten.py,tidyllm-vectorqa\tidyllm_vectorqa\core\tests\test_gmm_pca_whiten.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
test_nb_anom_mf.py,tidyllm-vectorqa\tidyllm_vectorqa\core\tests\test_nb_anom_mf.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
classifier.py,tidyllm-vectorqa\tidyllm_vectorqa\documents\classification\classifier.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
metadata.py,tidyllm-vectorqa\tidyllm_vectorqa\documents\extraction\metadata.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
text.py,tidyllm-vectorqa\tidyllm_vectorqa\documents\extraction\text.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
business.py,tidyllm-vectorqa\tidyllm_vectorqa\documents\templates\business.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
research_framework.py,tidyllm-whitepapers\streamlit_demo\research_framework.py,uncertain_needs_manual_review,low,Demo but missing main execution; Mixed indicators - needs manual review,,False,4,3
backend_config.py,tidyllm-whitepapers\streamlit_demo\backend_config.py,needs_migration,high,"Demo but missing main execution; Contains forbidden patterns: boto3_direct, psycopg2_direct, numpy_usage",boto3_direct; psycopg2_direct; numpy_usage,False,2,5
gateway.py,tidyllm-demos\shared\gateway.py,uncertain_needs_manual_review,low,Demo but missing main execution; Mixed indicators - needs manual review,,False,1,1
utils.py,tidyllm-demos\shared\utils.py,uncertain_needs_manual_review,low,Demo but missing main execution; Mixed indicators - needs manual review,,False,7,0
live_ticker.py,tidyllm-demos\demos\live-ticker\live_ticker.py,needs_migration,high,Demo with executable main; Contains forbidden patterns: psycopg2_direct,psycopg2_direct,True,3,1
run_pipeline.py,tidyllm-heiros\src\research-pipeline\run_pipeline.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,True,1,0
pdf_extractor_embeddings.py,tidyllm-heiros\src\research-pipeline\pdf_extractor_embeddings.py,needs_migration,high,"Contains forbidden patterns: psycopg2_direct, numpy_usage",psycopg2_direct; numpy_usage,False,0,6
input_source_nodes.py,tidyllm-heiros\src\electrical-system\input_source_nodes.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,6
flow_schemas.py,tidyllm-heiros\src\electrical-system\flow_schemas.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,10
control_signal_nodes.py,tidyllm-heiros\src\electrical-system\control_signal_nodes.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,6
output_sink_nodes.py,tidyllm-heiros\src\electrical-system\output_sink_nodes.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,7
simple_viz_demo.py,tidyllm-heiros\src\electrical-system\simple_viz_demo.py,inactive_no_functionality,high,Demo but missing main execution; No functions or classes defined,,False,0,0
electrical_workflow_visualizer.py,tidyllm-heiros\src\electrical-system\electrical_workflow_visualizer.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,5
mcp_electrical_decorators.py,tidyllm-heiros\src\electrical-system\mcp_electrical_decorators.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,11
dspy_electrical_signatures.py,tidyllm-heiros\src\electrical-system\dspy_electrical_signatures.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,1,11
sparse_system.py,tidyllm-heiros\src\sparse-agreement\sparse_system.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,9
hierarchical_dag_manager.py,tidyllm-heiros\src\dag-manager\hierarchical_dag_manager.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,12
mvr_workflow_example.py,tidyllm-heiros\examples\mvr_workflow_example.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,0
status_tracker.py,archive\old-tidyllm-docs\validation\status_tracker.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
